date	model	fcst_var	fcst_lead	vx_mask	on_1	on_10	on_11	on_2	on_3	on_4	on_5	on_6	on_7	on_8	on_9	oy_1	oy_10	oy_11	oy_2	oy_3	oy_4	oy_5	oy_6	oy_7	oy_8	oy_9	thresh_1	thresh_10	thresh_11	thresh_2	thresh_3	thresh_4	thresh_5	thresh_6	thresh_7	thresh_8	thresh_9	thresh_n
2022-05-03 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	790618	3722	2451	45268	22018	12701	7413	4931	4215	4196	3817	4059	4377	5699	3407	3078	2845	2452	2558	2665	3320	3667	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-03 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	753374	2153	420	60863	28916	18662	11495	7667	6616	5355	3686	2636	3669	1734	2707	3234	3624	3830	4176	4879	4984	4797	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-03 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	769947	1512	399	51531	25029	15882	11452	8450	5880	3662	2250	3076	6231	2894	2325	3988	3228	2682	3434	4312	5605	5708	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-03 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	777392	1326	251	45525	22559	15300	10975	8410	6699	4437	2500	2127	6918	2997	1643	2207	3022	3296	4879	5283	5790	5941	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-03 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	787203	1913	758	45228	21396	12709	9149	6841	5097	4856	4185	4031	2115	394	3684	4718	4216	4627	4438	3811	4240	3868	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-03 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	761814	155	25	72769	34271	17757	11006	6638	3811	2487	949	2395	3121	1130	2704	2591	1934	1999	2381	2493	2965	4082	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-04 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	840000	992	705	33115	13685	7597	4516	3637	2488	1972	1872	5675	2823	2819	2615	1989	1916	1966	1955	2175	2408	2557	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-04 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	791113	816	245	56423	26731	13744	8848	6496	4243	2823	1434	3504	1595	1020	2494	2553	2378	2670	2754	2939	2662	1992	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-04 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	802108	215	51	53050	24309	14854	8682	5540	3555	2206	778	2665	964	521	2978	2902	2785	2690	2544	2107	2217	1756	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-04 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	818157	36	1	49988	22063	13249	8827	5357	2877	1038	361	3076	40	1	2968	2706	2492	2226	1768	1213	665	368	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-04 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	797068	1	0	61802	30523	14283	8259	5611	2811	931	165	4239	0	0	3272	3029	2116	1889	1893	1188	368	29	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-04 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	760051	294	41	82847	33939	16838	8755	4952	3587	2818	1479	3220	34	1	3796	4191	4491	3894	2210	1164	586	289	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-05 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	842059	1205	1309	34712	12716	5917	3289	2268	1744	1421	1414	6492	2418	3316	3240	2927	2448	1994	2092	2125	2101	2270	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-05 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	802845	666	296	50530	23433	12795	6361	3419	2393	1750	1377	4762	2374	1811	3321	4061	3619	3035	2144	2251	2819	3415	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-05 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	806258	327	236	51146	21970	10646	5389	2786	1313	740	641	5886	3727	3778	5383	3974	3103	2514	2333	1749	2261	3317	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-05 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	800384	2036	3081	49048	21934	11058	5798	3164	2495	2103	2247	3752	6389	2325	3451	2432	1947	2242	2660	3225	3792	3914	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-05 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	781398	1135	9257	43378	21268	12748	9111	8131	7092	5918	3137	7657	1967	2819	3451	2720	2291	1963	2709	2956	3338	5033	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-05 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	735697	2737	12395	56321	29183	14553	9660	7350	5604	3821	2856	7247	2448	7252	4635	5369	5920	6285	5333	4946	5557	4308	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-06 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	770762	2739	2323	46189	24719	14489	9552	5895	4722	4161	3146	5926	4651	7327	3971	4387	4304	4066	3612	3698	4265	4573	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-06 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	722127	2235	2694	72235	38538	22550	14173	9883	6817	4645	3399	3212	3470	2536	4257	4371	3959	3563	3589	3545	3528	4151	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-06 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	728871	899	270	73465	38593	21893	13426	9501	6364	4242	2342	3679	1060	123	4010	4520	4971	5069	5609	5545	3413	1612	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-06 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	733180	1025	27	68053	34555	21967	15546	10135	7267	4666	2704	4381	646	50	4573	4281	5308	6194	5782	4085	2968	2084	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-06 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	746883	2040	1907	56084	29386	19577	13480	8513	5382	3075	2485	10848	3404	1475	4682	3938	4360	4319	3922	3997	4507	5213	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-06 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	731633	2121	1453	57634	35271	23700	14958	8864	5485	4134	3253	5238	4693	7491	5839	4996	4182	3678	3099	3346	4057	4352	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-07 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	768048	2244	1082	49085	25455	15789	10247	7212	5952	4960	3669	3416	3249	2256	3688	4092	5148	5517	4927	4918	4712	3811	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-07 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	740813	2308	1160	55532	30653	21594	16988	12758	8990	6251	4417	2030	4795	2659	2193	3187	3419	4018	4148	4042	3541	3981	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-07 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	756480	2917	1648	51413	27500	21058	16158	11241	8674	7099	4951	2233	2009	1940	2047	2559	3097	3469	3535	3214	3194	3041	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-07 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	789252	1233	459	44312	23778	16026	10310	7435	5861	4695	2691	6378	3063	1568	1562	2052	2762	2585	2428	3332	3983	3712	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-07 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	806068	4655	5422	34359	21072	14236	9622	5992	5306	4841	4459	4222	2474	2244	1980	2641	2376	1828	1517	1287	1256	1620	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-07 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	804229	1123	448	50038	25074	15805	9969	6479	4227	2841	1944	3301	568	113	2260	2003	1908	1511	1427	1474	1396	1339	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-08 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	841557	1672	1532	29089	13221	7489	5541	3724	3032	2358	2168	5768	1784	2223	3295	2909	2399	1954	1840	1868	2045	2009	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-08 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	800288	1043	356	46168	22794	13395	8268	5909	4334	3107	1990	3857	2567	2613	3321	3241	3288	2419	2545	2906	2464	2604	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-08 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	806528	736	241	39885	20477	13773	10343	7193	4410	2435	1362	2752	3815	1605	2166	2936	3031	2992	2772	2897	3477	3651	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-08 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	824269	1185	1410	39039	18236	12141	7044	4705	3451	3120	2047	3037	2795	499	1522	1572	1420	1282	1629	2486	4083	2505	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-08 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	835055	4285	6645	28870	13550	7977	5164	3536	3000	2841	3558	7033	2528	584	1849	1542	1698	1780	1592	1577	1678	3135	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-08 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	806182	670	337	56908	25634	14288	7942	4304	2761	1676	1083	2680	289	70	2836	2913	2605	1965	1245	1273	1000	816	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-09 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	844217	942	486	40043	15232	7732	4660	3223	2415	1835	1409	4553	713	719	2252	2042	1489	1384	1341	1105	928	757	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-09 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	791909	1328	208	62196	27818	15287	9666	6431	4010	2546	1976	2309	981	27	2244	1744	1462	1250	1220	1475	1617	1773	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-09 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	808313	244	33	56831	23803	13426	7687	4790	3403	2310	1204	3225	2014	595	2195	1318	1189	1217	1140	1047	1674	1819	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-09 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	826019	846	262	44106	16782	10179	7265	4826	3258	2797	2056	2974	2281	723	2546	1302	1228	1478	1606	1762	2556	2625	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-09 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	825878	2267	1360	29827	18794	13556	9999	6744	4426	3153	2583	2467	1329	658	2405	2263	2219	2489	2493	1903	1295	1369	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-09 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	831197	1211	117	47899	20330	9120	4316	2830	1942	1970	2433	2330	1179	188	3254	2470	1538	1253	1022	851	801	1226	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-10 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	880897	531	602	24428	9771	5087	3955	1808	1069	875	768	2414	120	120	956	828	921	1099	966	919	547	796	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-10 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	850851	312	222	41534	18534	10444	5315	2606	1321	889	531	934	101	76	568	707	1231	1055	882	589	467	308	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-10 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	865207	219	235	40402	15046	5868	3285	1196	590	432	336	1009	4	1	789	824	705	852	853	767	570	287	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-10 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	881471	0	0	35188	11368	4652	1586	473	51	1	0	3015	0	0	980	459	209	23	0	1	0	0	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-10 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	919747	28	6	12806	2092	521	221	154	113	83	57	3387	0	0	184	40	27	5	6	0	0	0	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-10 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	892475	0	0	34386	6688	1828	633	228	93	31	7	1696	0	0	733	359	161	76	61	18	3	1	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-11 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	871763	504	389	26659	11162	6228	3191	1846	1215	835	651	2931	849	1282	1613	1590	1475	1446	1065	956	971	856	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-11 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	837122	59	16	45799	19094	9121	4633	2250	1021	443	144	4143	827	392	3048	2486	2245	2273	1225	924	1037	1175	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-11 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	848993	1	0	44848	15051	7117	3000	1181	385	179	76	4097	1374	330	1987	1699	1513	1777	1391	1662	1685	1131	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-11 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	870376	2	0	40025	11486	4886	2882	1503	1108	704	152	1507	0	0	1221	901	759	752	584	334	226	69	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-11 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	868799	45	4	44406	13945	2534	807	582	542	303	133	3092	177	4	1152	853	462	476	328	301	270	262	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-11 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	868293	1	0	39409	13516	5600	1513	216	47	12	5	6309	0	0	2151	999	573	311	296	205	21	0	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-12 01:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	010000	CONUS	871396	234	181	30017	8962	3966	2016	1063	804	716	510	4020	957	2759	2135	1592	1570	1396	1310	1379	1350	1144	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-12 03:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	030000	CONUS	833383	325	219	52324	16131	6888	4063	2444	1712	952	416	3176	1534	3029	2477	2022	1636	1497	1432	1348	1183	1286	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-12 05:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	050000	CONUS	830094	308	227	48556	19083	7574	4069	2519	1625	1083	534	2548	2201	3469	2164	2029	1694	1961	2365	1951	1631	1792	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-12 10:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	100000	CONUS	820070	1271	1093	40540	16689	10530	6760	4360	2995	1966	1240	2674	1301	1296	2581	3417	4956	5123	4295	2620	2213	1487	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-12 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	821294	738	1345	37554	19025	12425	7674	3891	2171	1451	1008	8512	202	538	6534	4767	3206	2258	1961	1665	909	349	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-12 18:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	180000	CONUS	781851	586	5045	67662	24088	11482	7015	6192	5168	3086	1271	5390	601	4163	3417	2773	2452	1841	1636	1521	1277	960	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
2022-05-13 12:00:00	MPAS_EXPT1_ensprob	REFC_ENS_FREQ_ge20	360000	CONUS	847706	562	680	41946	12982	6933	4362	2153	1412	1012	545	10446	42	14	3620	1680	1284	739	434	306	476	143	-0.05	0.85	0.95	0.05	0.15	0.25	0.35	0.45	0.55	0.65	0.75	1.05
